,DBpedia
http://dbpedia.org/ontology/HistoricPlace,0.984770461268763
http://dbpedia.org/ontology/HockeyTeam,0.9718724886150549
http://dbpedia.org/ontology/Holiday,0.9967963386727688
http://dbpedia.org/ontology/HollywoodCartoon,1.0
http://dbpedia.org/ontology/Horse,1.0
http://dbpedia.org/ontology/HorseRace,0.8222365869424693
http://dbpedia.org/ontology/HorseRider,0.9857612267250822
http://dbpedia.org/ontology/HorseTrainer,0.996969696969697
http://dbpedia.org/ontology/Hospital,0.9958451782199869
http://dbpedia.org/ontology/Hotel,0.9984962406015038
http://dbpedia.org/ontology/HumanGene,1.0
http://dbpedia.org/ontology/HumanGeneLocation,0.0
http://dbpedia.org/ontology/IceHockeyLeague,1.0
http://dbpedia.org/ontology/IceHockeyPlayer,0.9941113216242511
http://dbpedia.org/ontology/Image,0.0
http://dbpedia.org/ontology/InformationAppliance,0.9957850368809273
http://dbpedia.org/ontology/Infrastructure,0.9627008810047573
http://dbpedia.org/ontology/InlineHockeyLeague,1.0
http://dbpedia.org/ontology/Insect,0.9956083730469928
http://dbpedia.org/ontology/Instrumentalist,0.9931972789115646
http://dbpedia.org/ontology/Island,0.9813206619695232
http://dbpedia.org/ontology/Jockey,0.9853587115666179
http://dbpedia.org/ontology/Journalist,0.944604731679169
http://dbpedia.org/ontology/Judge,0.9406037000973709
http://dbpedia.org/ontology/LacrosseLeague,1.0
http://dbpedia.org/ontology/LacrossePlayer,0.9979253112033195
http://dbpedia.org/ontology/Lake,0.8450825204000245
http://dbpedia.org/ontology/Language,0.981379821958457
http://dbpedia.org/ontology/LaunchPad,1.0
http://dbpedia.org/ontology/LawFirm,1.0
http://dbpedia.org/ontology/Lawyer,1.0
http://dbpedia.org/ontology/LegalCase,1.0
http://dbpedia.org/ontology/Legislature,0.9881271543469935
http://dbpedia.org/ontology/Library,0.9892072943803498
http://dbpedia.org/ontology/Ligament,1.0
http://dbpedia.org/ontology/Lighthouse,0.9412008281573498
http://dbpedia.org/ontology/Location,0.9884605356987668
http://dbpedia.org/ontology/Locomotive,0.9852352352352353
http://dbpedia.org/ontology/Lymph,1.0
http://dbpedia.org/ontology/Magazine,0.9728035814213766
http://dbpedia.org/ontology/Mammal,0.999735257131511
http://dbpedia.org/ontology/Manga,0.9000793021411578
http://dbpedia.org/ontology/MartialArtist,0.9896878483835005
http://dbpedia.org/ontology/Mayor,0.990726429675425
http://dbpedia.org/ontology/MeanOfTransportation,0.9384034666034734
http://dbpedia.org/ontology/Medician,1.0
http://dbpedia.org/ontology/MemberOfParliament,0.9949475320637389
http://dbpedia.org/ontology/MilitaryConflict,0.9673010694217872
http://dbpedia.org/ontology/MilitaryPerson,0.9726927497126867
http://dbpedia.org/ontology/MilitaryStructure,0.9960159362549801
http://dbpedia.org/ontology/MilitaryUnit,0.9696856071531583
http://dbpedia.org/ontology/Mineral,1.0
http://dbpedia.org/ontology/MixedMartialArtsEvent,0.8009803921568628
http://dbpedia.org/ontology/MixedMartialArtsLeague,1.0
http://dbpedia.org/ontology/Model,0.9948394495412844
http://dbpedia.org/ontology/Mollusca,0.9998761993190962
http://dbpedia.org/ontology/Monarch,0.9996197718631179
http://dbpedia.org/ontology/Monument,0.9911504424778761
http://dbpedia.org/ontology/Moss,1.0
http://dbpedia.org/ontology/Motorcycle,0.9926322839919625
http://dbpedia.org/ontology/MotorcycleRacingLeague,1.0
http://dbpedia.org/ontology/MotorcycleRider,0.998
http://dbpedia.org/ontology/MotorsportRacer,0.9944951242529098
http://dbpedia.org/ontology/MotorsportSeason,0.26734531392174704
http://dbpedia.org/ontology/Mountain,0.996439660525771
http://dbpedia.org/ontology/MountainPass,0.9980781550288277
http://dbpedia.org/ontology/MountainRange,0.9510527754990429
http://dbpedia.org/ontology/MouseGene,0.0
http://dbpedia.org/ontology/MouseGeneLocation,0.0
http://dbpedia.org/ontology/Murderer,0.98989898989899
http://dbpedia.org/ontology/Muscle,0.9971671388101983
http://dbpedia.org/ontology/Museum,0.9899085164576064
http://dbpedia.org/ontology/MusicFestival,0.9634369287020109
http://dbpedia.org/ontology/MusicGenre,0.893593761387654
http://dbpedia.org/ontology/Musical,0.9951272333513806
http://dbpedia.org/ontology/MusicalArtist,0.7868070660829837
http://dbpedia.org/ontology/MusicalWork,0.9587218253626723
http://dbpedia.org/ontology/MythologicalFigure,0.9985074626865672
http://dbpedia.org/ontology/NCAATeamSeason,1.0
http://dbpedia.org/ontology/Name,0.9984072810011376
http://dbpedia.org/ontology/NascarDriver,0.9932562620423893
http://dbpedia.org/ontology/NationalCollegiateAthleticAssociationAthlete,0.9896373056994818
http://dbpedia.org/ontology/NationalFootballLeagueEvent,1.0
http://dbpedia.org/ontology/NationalFootballLeagueSeason,0.9997092177958709
http://dbpedia.org/ontology/NaturalEvent,1.0
http://dbpedia.org/ontology/NaturalPlace,0.9618643443408043
http://dbpedia.org/ontology/Nerve,0.9978768577494692
http://dbpedia.org/ontology/NetballPlayer,0.9961977186311787
