,Wikidata
http://www.wikidata.org/entity/Q208511,1.0
http://www.wikidata.org/entity/Q20900468,1.0
http://www.wikidata.org/entity/Q209363,1.0
http://www.wikidata.org/entity/Q2097974,1.0
http://www.wikidata.org/entity/Q2098169,1.0
http://www.wikidata.org/entity/Q210167,1.0
http://www.wikidata.org/entity/Q211496,1.0
http://www.wikidata.org/entity/Q21191270,0.9998312307497574
http://www.wikidata.org/entity/Q2126292,1.0
http://www.wikidata.org/entity/Q21281028,1.0
http://www.wikidata.org/entity/Q2133344,1.0
http://www.wikidata.org/entity/Q21495953,1.0
http://www.wikidata.org/entity/Q214995,1.0
http://www.wikidata.org/entity/Q2150,1.0
http://www.wikidata.org/entity/Q21507383,1.0
http://www.wikidata.org/entity/Q21518270,1.0
http://www.wikidata.org/entity/Q215380,0.999986308122022
http://www.wikidata.org/entity/Q21562092,1.0
http://www.wikidata.org/entity/Q21647259,1.0
http://www.wikidata.org/entity/Q21647266,1.0
http://www.wikidata.org/entity/Q2171616,1.0
http://www.wikidata.org/entity/Q2178147,1.0
http://www.wikidata.org/entity/Q21804540,1.0
http://www.wikidata.org/entity/Q218616,1.0
http://www.wikidata.org/entity/Q21869758,1.0
http://www.wikidata.org/entity/Q222910,1.0
http://www.wikidata.org/entity/Q223393,1.0
http://www.wikidata.org/entity/Q223832,1.0
http://www.wikidata.org/entity/Q2264924,1.0
http://www.wikidata.org/entity/Q22674925,1.0
http://www.wikidata.org/entity/Q22811668,1.0
http://www.wikidata.org/entity/Q22865,1.0
http://www.wikidata.org/entity/Q22927616,1.0
http://www.wikidata.org/entity/Q229390,1.0
http://www.wikidata.org/entity/Q2300833,1.0
http://www.wikidata.org/entity/Q23034740,1.0
http://www.wikidata.org/entity/Q23058953,1.0
http://www.wikidata.org/entity/Q2326815,1.0
http://www.wikidata.org/entity/Q23442,1.0
http://www.wikidata.org/entity/Q2398229,1.0
http://www.wikidata.org/entity/Q2412834,1.0
http://www.wikidata.org/entity/Q241317,1.0
http://www.wikidata.org/entity/Q2425489,1.0
http://www.wikidata.org/entity/Q24354,1.0
http://www.wikidata.org/entity/Q245065,1.0
http://www.wikidata.org/entity/Q2485448,1.0
http://www.wikidata.org/entity/Q24856,1.0
http://www.wikidata.org/entity/Q24862,0.9999096249435155
http://www.wikidata.org/entity/Q24869,1.0
http://www.wikidata.org/entity/Q251777,1.0
http://www.wikidata.org/entity/Q25325385,1.0
http://www.wikidata.org/entity/Q2533461,1.0
http://www.wikidata.org/entity/Q25377665,1.0
http://www.wikidata.org/entity/Q2558684,1.0
http://www.wikidata.org/entity/Q2580825,1.0
http://www.wikidata.org/entity/Q2593233,1.0
http://www.wikidata.org/entity/Q25956,1.0
http://www.wikidata.org/entity/Q262166,1.0
http://www.wikidata.org/entity/Q2622945,1.0
http://www.wikidata.org/entity/Q2637056,1.0
http://www.wikidata.org/entity/Q26401003,1.0
http://www.wikidata.org/entity/Q26529,1.0
http://www.wikidata.org/entity/Q26540,1.0
http://www.wikidata.org/entity/Q2656974,1.0
http://www.wikidata.org/entity/Q2679045,1.0
http://www.wikidata.org/entity/Q26807495,1.0
http://www.wikidata.org/entity/Q26934845,1.0
http://www.wikidata.org/entity/Q2705,1.0
http://www.wikidata.org/entity/Q2705481,1.0
